url,page_type,subtype,priority,gsc_position,estimated_rank,phase_id,phase_label,top_action,actions
https://simplyenak.com/tours/penang-street-food,tour,tour:penang-street-food,0.5,1.5,,5,Maintenance (Position 1–5),Monitor position daily via GSC / rank tracker,"Monitor position daily via GSC / rank tracker
Refresh content quarterly with new information / data
Watch competitor pages for new content or features
Respond to new reviews and maintain Google Business Profile
Continue building new backlinks at sustaining pace"
https://simplyenak.com/contact,supporting,page:contact,0.5,1.6,,5,Maintenance (Position 1–5),Monitor position daily via GSC / rank tracker,"Monitor position daily via GSC / rank tracker
Refresh content quarterly with new information / data
Watch competitor pages for new content or features
Respond to new reviews and maintain Google Business Profile
Continue building new backlinks at sustaining pace"
https://simplyenak.com/tours,supporting,page:tours,0.5,1.8,,5,Maintenance (Position 1–5),Monitor position daily via GSC / rank tracker,"Monitor position daily via GSC / rank tracker
Refresh content quarterly with new information / data
Watch competitor pages for new content or features
Respond to new reviews and maintain Google Business Profile
Continue building new backlinks at sustaining pace"
https://simplyenak.com/about,supporting,page:about,0.5,2.0,,5,Maintenance (Position 1–5),Monitor position daily via GSC / rank tracker,"Monitor position daily via GSC / rank tracker
Refresh content quarterly with new information / data
Watch competitor pages for new content or features
Respond to new reviews and maintain Google Business Profile
Continue building new backlinks at sustaining pace"
https://simplyenak.com/stories/do-malaysians-speak-english,blog,blog:do-malaysians-speak-english,0.5,2,,5,Maintenance (Position 1–5),Monitor position daily via GSC / rank tracker,"Monitor position daily via GSC / rank tracker
Refresh content quarterly with new information / data
Watch competitor pages for new content or features
Respond to new reviews and maintain Google Business Profile
Continue building new backlinks at sustaining pace"
https://simplyenak.com/stories/port-klang-to-kuala-lumpur,blog,blog:port-klang-to-kuala-lumpur,0.5,2,,5,Maintenance (Position 1–5),Monitor position daily via GSC / rank tracker,"Monitor position daily via GSC / rank tracker
Refresh content quarterly with new information / data
Watch competitor pages for new content or features
Respond to new reviews and maintain Google Business Profile
Continue building new backlinks at sustaining pace"
https://simplyenak.com/tours/kuala-lumpur-street-food,tour,tour:kuala-lumpur-street-food,0.5,2.1,,5,Maintenance (Position 1–5),Monitor position daily via GSC / rank tracker,"Monitor position daily via GSC / rank tracker
Refresh content quarterly with new information / data
Watch competitor pages for new content or features
Respond to new reviews and maintain Google Business Profile
Continue building new backlinks at sustaining pace"
https://simplyenak.com/how-it-works,supporting,page:how-it-works,0.5,3.0,,5,Maintenance (Position 1–5),Monitor position daily via GSC / rank tracker,"Monitor position daily via GSC / rank tracker
Refresh content quarterly with new information / data
Watch competitor pages for new content or features
Respond to new reviews and maintain Google Business Profile
Continue building new backlinks at sustaining pace"
https://simplyenak.com/tours/segments/food-tours-for-families-kuala-lumpur,colony,segment:food-tours-for-families-kuala-lumpur,0.5,3.9,,5,Maintenance (Position 1–5),Monitor position daily via GSC / rank tracker,"Monitor position daily via GSC / rank tracker
Refresh content quarterly with new information / data
Watch competitor pages for new content or features
Respond to new reviews and maintain Google Business Profile
Continue building new backlinks at sustaining pace"
https://simplyenak.com/tours/segments/food-tours-for-couples-kuala-lumpur,colony,segment:food-tours-for-couples-kuala-lumpur,0.5,4.0,,5,Maintenance (Position 1–5),Monitor position daily via GSC / rank tracker,"Monitor position daily via GSC / rank tracker
Refresh content quarterly with new information / data
Watch competitor pages for new content or features
Respond to new reviews and maintain Google Business Profile
Continue building new backlinks at sustaining pace"
https://simplyenak.com/tours/why-simply-enak,tour,tour:why-simply-enak,0.5,5.4,,5,Maintenance (Position 1–5),Monitor position daily via GSC / rank tracker,"Monitor position daily via GSC / rank tracker
Refresh content quarterly with new information / data
Watch competitor pages for new content or features
Respond to new reviews and maintain Google Business Profile
Continue building new backlinks at sustaining pace"
https://simplyenak.com/directions,supporting,page:directions,0.5,6.1,,4,Conversion (Position 5–10),Add prominent booking CTA above the fold,"Add prominent booking CTA above the fold
Add social proof: testimonials, review scores, trust badges
A/B test title tags for CTR improvement
Add urgency signals (limited availability, 'booked X times today')
Optimize for featured snippets (answer common questions concisely)"
https://simplyenak.com/tours/dietary/halal-food-tours-kuala-lumpur,colony,dietary:halal-food-tours-kuala-lumpur,0.5,6.1,,4,Conversion (Position 5–10),Add prominent booking CTA above the fold,"Add prominent booking CTA above the fold
Add social proof: testimonials, review scores, trust badges
A/B test title tags for CTR improvement
Add urgency signals (limited availability, 'booked X times today')
Optimize for featured snippets (answer common questions concisely)"
https://simplyenak.com/tours/private-tours,tour,tour:private-tours,0.5,6.8,,4,Conversion (Position 5–10),Add prominent booking CTA above the fold,"Add prominent booking CTA above the fold
Add social proof: testimonials, review scores, trust badges
A/B test title tags for CTR improvement
Add urgency signals (limited availability, 'booked X times today')
Optimize for featured snippets (answer common questions concisely)"
https://simplyenak.com/tours/dietary/vegan-food-tours-kuala-lumpur,colony,dietary:vegan-food-tours-kuala-lumpur,0.5,7.4,,4,Conversion (Position 5–10),Add prominent booking CTA above the fold,"Add prominent booking CTA above the fold
Add social proof: testimonials, review scores, trust badges
A/B test title tags for CTR improvement
Add urgency signals (limited availability, 'booked X times today')
Optimize for featured snippets (answer common questions concisely)"
https://simplyenak.com/tours/georgetown-night-food-durian,tour,tour:georgetown-night-food-durian,0.5,8.3,,4,Conversion (Position 5–10),Add prominent booking CTA above the fold,"Add prominent booking CTA above the fold
Add social proof: testimonials, review scores, trust badges
A/B test title tags for CTR improvement
Add urgency signals (limited availability, 'booked X times today')
Optimize for featured snippets (answer common questions concisely)"
https://simplyenak.com/tours/locations/food-tours-ipoh,colony,location:food-tours-ipoh,0.5,8.3,,4,Conversion (Position 5–10),Add prominent booking CTA above the fold,"Add prominent booking CTA above the fold
Add social proof: testimonials, review scores, trust badges
A/B test title tags for CTR improvement
Add urgency signals (limited availability, 'booked X times today')
Optimize for featured snippets (answer common questions concisely)"
https://simplyenak.com/terms,utility,utility:terms,0.5,9,,4,Conversion (Position 5–10),Add prominent booking CTA above the fold,"Add prominent booking CTA above the fold
Add social proof: testimonials, review scores, trust badges
A/B test title tags for CTR improvement
Add urgency signals (limited availability, 'booked X times today')
Optimize for featured snippets (answer common questions concisely)"
https://simplyenak.com/stories/souvenirs-for-foodies,blog,blog:souvenirs-for-foodies,0.5,9.2,,4,Conversion (Position 5–10),Add prominent booking CTA above the fold,"Add prominent booking CTA above the fold
Add social proof: testimonials, review scores, trust badges
A/B test title tags for CTR improvement
Add urgency signals (limited availability, 'booked X times today')
Optimize for featured snippets (answer common questions concisely)"
https://simplyenak.com/stories/chinese-dumpling-festival,blog,blog:chinese-dumpling-festival,0.5,9.4,,4,Conversion (Position 5–10),Add prominent booking CTA above the fold,"Add prominent booking CTA above the fold
Add social proof: testimonials, review scores, trust badges
A/B test title tags for CTR improvement
Add urgency signals (limited availability, 'booked X times today')
Optimize for featured snippets (answer common questions concisely)"
https://simplyenak.com/tours/locations/food-tours-kuala-lumpur,colony,location:food-tours-kuala-lumpur,0.5,9.4,,4,Conversion (Position 5–10),Add prominent booking CTA above the fold,"Add prominent booking CTA above the fold
Add social proof: testimonials, review scores, trust badges
A/B test title tags for CTR improvement
Add urgency signals (limited availability, 'booked X times today')
Optimize for featured snippets (answer common questions concisely)"
https://simplyenak.com/tours/dietary/gluten-free-food-tours-kuala-lumpur,colony,dietary:gluten-free-food-tours-kuala-lumpur,0.5,9.6,,4,Conversion (Position 5–10),Add prominent booking CTA above the fold,"Add prominent booking CTA above the fold
Add social proof: testimonials, review scores, trust badges
A/B test title tags for CTR improvement
Add urgency signals (limited availability, 'booked X times today')
Optimize for featured snippets (answer common questions concisely)"
